xposition	yposition	z
1.59	3.02	5
1.99	3.71	5
0.8	3.02	5
1.2	3.71	5
2.78	5.09	5
2.38	4.4	5
1.59	4.4	5
1.99	5.09	5
1.2	5.09	5
0.8	4.4	5
0.41	5.09	5
0.02	4.4	5
0.01	3.02	5
-0.77	3.02	5
-0.38	3.71	5
0.41	3.71	5
-0.38	5.09	5
-0.77	4.4	5
-1.17	5.09	5
-1.56	4.4	5
-1.96	5.09	5
-2.75	5.09	5
-2.35	4.4	5
-3.14	4.4	5
-1.96	3.71	5
-2.35	3.02	5
-1.17	3.71	5
-1.56	3.02	5
-3.54	3.71	5
-3.93	3.02	5
-2.75	3.71	5
-3.14	3.02	5
0.41	2.33	5
0.01	1.64	5
1.2	2.33	5
0.8	1.64	5
-1.17	2.33	5
-0.78	1.64	5
-1.56	1.64	5
-0.38	2.33	5
0.41	0.95	5
0.01	0.26	5
-0.78	0.26	5
-0.38	0.95	5
-1.96	0.95	5
-1.57	0.26	5
-1.17	0.95	5
-2.35	0.26	5
-2.75	0.95	5
-3.15	0.26	5
-3.54	0.95	5
-3.94	0.26	5
-1.96	2.33	5
-2.75	2.33	5
-2.35	1.64	5
-3.15	1.64	5
-4.33	0.95	5
-4.72	0.26	5
-5.12	0.95	5
-5.51	0.26	5
-4.72	1.64	5
-3.54	2.33	5
-3.93	1.64	5
-4.33	2.33	5
1.99	-3.19	5
2.38	-3.88	5
2.38	-2.5	5
2.78	-3.19	5
3.17	-3.88	5
2.78	-4.57	5
3.17	-5.26	5
3.57	-4.57	5
3.96	-3.88	5
3.57	-3.19	5
4.36	-3.19	5
3.96	-2.5	5
2.78	-1.81	5
3.17	-1.12	5
3.57	-1.81	5
3.17	-2.5	5
4.75	-2.5	5
4.36	-1.81	5
5.15	-1.81	5
4.75	-1.12	5
5.54	-1.12	5
5.94	-0.43	5
5.15	-0.43	5
5.54	0.26	5
4.36	-0.43	5
3.96	0.26	5
3.96	-1.12	5
3.57	-0.43	5
4.75	0.26	5
4.36	0.95	5
5.15	0.95	5
4.75	1.64	5
1.59	-1.12	5
1.2	-1.81	5
1.99	-1.81	5
1.59	-2.5	5
2.78	-0.43	5
1.99	-0.43	5
2.38	0.26	5
2.38	-1.12	5
0.8	-1.12	5
0.41	-0.43	5
0.8	0.26	5
1.2	-0.43	5
1.99	0.95	5
1.2	0.95	5
1.59	0.26	5
1.59	1.64	5
2.38	1.64	5
1.99	2.33	5
2.78	2.33	5
2.38	3.02	5
3.17	0.26	5
3.57	0.95	5
2.78	0.95	5
3.17	1.64	5
3.17	3.02	5
2.78	3.71	5
3.57	3.71	5
3.17	4.4	5
3.96	3.02	5
3.96	1.64	5
3.57	2.33	5
4.36	2.33	5
-3.54	-0.43	5
-4.33	-0.43	5
-3.15	-1.12	5
-3.94	-1.12	5
-5.91	-0.43	5
-5.12	-0.43	5
-4.72	-1.12	5
-5.51	-1.12	5
-5.12	-1.81	5
-4.33	-1.81	5
-4.72	-2.5	5
-3.93	-2.5	5
-2.75	-1.81	5
-2.35	-2.5	5
-3.15	-2.5	5
-3.54	-1.81	5
-3.54	-3.19	5
-4.33	-3.19	5
-3.93	-3.88	5
-3.14	-3.88	5
-3.54	-4.57	5
-3.14	-5.26	5
-2.75	-4.57	5
-2.35	-5.26	5
-2.35	-3.88	5
-1.56	-3.88	5
-2.75	-3.19	5
-1.96	-3.19	5
-1.56	-5.26	5
-0.77	-5.26	5
-1.96	-4.57	5
-1.17	-4.57	5
-2.75	-0.43	5
-1.96	-0.43	5
-2.35	-1.12	5
-1.57	-1.12	5
-1.57	-2.5	5
-1.17	-1.81	5
-0.78	-2.5	5
-1.96	-1.81	5
-1.17	-0.43	5
-0.38	-0.43	5
0.01	-1.12	5
-0.78	-1.12	5
0.01	-2.5	5
0.41	-1.81	5
-0.38	-1.81	5
0.8	-2.5	5
0.41	-3.19	5
1.2	-3.19	5
0.8	-3.88	5
1.59	-3.88	5
-1.17	-3.19	5
-0.77	-3.88	5
-0.38	-3.19	5
0.01	-3.88	5
1.2	-4.57	5
1.99	-4.57	5
1.59	-5.26	5
2.38	-5.26	5
0.8	-5.26	5
-0.38	-4.57	5
0.41	-4.57	5
0.02	-5.26	5
0.0	-0.2	5
5.5	-3.9	5
5.5	-4.33	5
5.5	-4.76	5
5.5	-5.2	5
6.0	-3.9	5
6.0	-4.33	5
6.0	-4.76	5
6.0	-5.2	5
